UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4545,1,8420,00,4000,28,100.00000000
4545,1,8420,00,4000,31,100.00000000
4545,1,8422,00,4000,28,100.00000000
4545,1,8422,00,4000,54,100.00000000
4545,1,8422,00,4000,57,100.00000000
4545,1,8422,00,4000,80,150.00000000
4545,1,8422,00,4000,89,100.00000000
4545,1,8422,00,4000,109,150.00000000
4545,1,8422,00,4000,150,100.00000000
4545,1,8422,12,1000,9,250.00000000
4545,1,8422,12,1000,64,250.00000000
4545,1,8424,00,4000,55,200.00000000
4545,1,8424,14,1000,2,200.00000000
4545,1,8424,14,1000,8,200.00000000
4545,1,8424,14,1000,28,200.00000000
4545,1,8424,14,1000,31,200.00000000
4545,1,8424,15,1000,8,180.00000000
4545,1,8428,16,1000,24,380.00000000
4545,1,8428,16,1000,27,380.00000000
4545,1,8430,00,4000,18,100.00000000
4545,1,8432,00,4000,3,100.00000000
4545,1,8432,00,4000,15,430.00000000
4545,1,8432,07,1000,6,430.00000000
4545,1,8432,07,1000,9,430.00000000
4545,1,8432,07,1000,35,430.00000000
4545,1,8432,08,1000,37,430.00000000
4545,1,8432,11,1000,33,430.00000000
4545,1,8432,12,1000,43,430.00000000
4545,1,8442,01,2000,17,180.00000000
4545,1,8442,02,2000,27,180.00000000
4545,1,8442,06,1000,20,250.00000000
4545,1,8442,06,1000,40,250.00000000
4545,1,8442,06,1000,54,220.00000000
4545,1,8442,06,1000,69,250.00000000
4545,1,8442,10,1000,7,100.00000000
4544,1,0000,009,5000,12,380.00000000
4544,1,0000,009,5000,41,150.00000000
4544,1,0000,009,5000,102,150.00000000
4544,1,0000,009,5000,105,150.00000000
4544,1,0000,009,5000,108,100.00000000
4544,1,0000,023,5000,77,100.00000000
4544,1,0000,036,5000,145,100.00000000
4544,1,0000,036,5000,186,140.00000000
4544,1,0000,049,5000,13,100.00000000
4544,1,0000,049,5000,19,100.00000000
4544,1,0000,050,5000,58,100.00000000
4544,1,0000,050,5000,61,100.00000000
4544,1,8682,00,4000,2,100.00000000
4544,1,8684,00,4000,29,190.00000000
4544,1,8684,00,4000,61,190.00000000
4544,1,8684,00,4000,64,190.00000000
4544,1,8684,00,4000,90,190.00000000
4544,1,8684,00,4000,93,190.00000000
4544,1,8684,00,4000,96,190.00000000
4544,1,8684,00,4000,99,190.00000000
4544,1,8684,00,4000,163,130.00000000
4544,1,8684,00,4000,226,100.00000000
4544,1,8684,00,4000,252,100.00000000
4544,1,8684,00,4000,258,100.00000000
4544,1,8684,00,4000,289,440.00000000
4544,1,8686,00,4000,10,190.00000000
4544,1,8686,00,4000,27,100.00000000
4544,1,8688,00,4000,5,100.00000000
4544,1,8688,00,4000,28,100.00000000
4544,1,8688,00,4000,95,100.00000000
4545,1,0000,022,5000,2,100.00000000
4545,1,0000,022,5000,8,100.00000000
4545,1,0000,023,5000,77,180.00000000
4545,1,0000,023,5000,106,130.00000000
4545,1,0000,023,5000,137,100.00000000
4545,1,0000,093,5000,23,100.00000000
4545,1,0000,093,5000,58,100.00000000
