UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4627,1,0000,098,5000,604,130.00000000
4627,1,0000,098,5000,624,130.00000000
4627,1,0000,098,5000,688,130.00000000
4627,1,0000,098,5000,691,130.00000000
4627,1,0000,110,5000,19,130.00000000
4627,1,0000,111,5000,60,130.00000000
4627,1,0000,111,5000,66,130.00000000
4627,1,0000,111,5000,74,170.00000000
4627,1,0000,111,5000,92,130.00000000
4627,1,0000,111,5000,208,130.00000000
4627,1,0000,111,5000,214,130.00000000
4627,1,0000,111,5000,219,170.00000000
4627,1,0000,111,5000,246,130.00000000
4627,1,0000,111,5000,275,130.00000000
4627,1,0000,122,5000,3,350.00000000
4627,1,0000,122,5000,11,530.00000000
4627,1,0000,122,5000,29,640.00000000
4627,1,3434,04,1000,27,170.00000000
4627,1,3434,16,1000,9,130.00000000
4627,1,3434,16,1000,17,170.00000000
4627,1,3434,16,1000,23,170.00000000
4627,1,3434,16,1000,49,170.00000000
4627,1,3434,16,1000,52,170.00000000
4627,1,3434,16,1000,55,170.00000000
4627,1,3434,16,1000,75,170.00000000
4627,1,3434,16,1000,78,170.00000000
4627,1,3438,00,4000,18,130.00000000
4627,1,3630,01,2000,3,130.00000000
4627,1,3632,00,4000,5,170.00000000
4627,1,3632,00,4000,33,1000.00000000
4627,1,3632,00,4000,40,170.00000000
4627,1,3632,00,4000,66,170.00000000
4627,1,3632,00,4000,90,470.00000000
4627,1,3632,01,1000,8,170.00000000
4627,1,3632,03,1000,4,170.00000000
4627,1,0000,008,5000,10,130.00000000
4627,1,0000,034,5000,5,130.00000000
4627,1,0000,034,5000,8,130.00000000
4627,1,0000,034,5000,31,130.00000000
4627,1,0000,034,5000,69,130.00000000
4627,1,0000,048,5000,58,170.00000000
4627,1,0000,048,5000,63,130.00000000
4627,1,0000,049,5000,22,130.00000000
4627,1,0000,049,5000,62,660.00000000
4627,1,0000,060,5000,98,310.00000000
4627,1,0000,061,5000,17,170.00000000
4627,1,0000,061,5000,109,130.00000000
4627,1,0000,061,5000,142,170.00000000
4627,1,0000,061,5000,168,560.00000000
4627,1,0000,061,5000,177,660.00000000
4627,1,0000,062,5000,15,170.00000000
4627,1,0000,062,5000,47,170.00000000
4627,1,0000,062,5000,50,660.00000000
4627,1,0000,062,5000,53,170.00000000
4627,1,0000,072,5000,8,130.00000000
4627,1,0000,072,5000,11,130.00000000
4627,1,0000,072,5000,17,130.00000000
4627,1,0000,073,5000,111,130.00000000
4627,1,0000,073,5000,144,170.00000000
4627,1,0000,073,5000,169,130.00000000
4627,1,0000,073,5000,175,130.00000000
4627,1,0000,073,5000,201,130.00000000
4627,1,0000,073,5000,204,130.00000000
4627,1,0000,073,5000,207,130.00000000
4627,1,0000,074,5000,4,170.00000000
4627,1,0000,074,5000,9,130.00000000
4627,1,0000,074,5000,12,130.00000000
4627,1,0000,085,5000,11,170.00000000
4627,1,0000,085,5000,14,170.00000000
4627,1,0000,085,5000,16,130.00000000
4627,1,0000,085,5000,42,130.00000000
4627,1,0000,085,5000,74,130.00000000
4627,1,0000,085,5000,190,130.00000000
4627,1,0000,085,5000,196,130.00000000
4627,1,0000,085,5000,222,130.00000000
4627,1,0000,085,5000,231,130.00000000
4627,1,0000,086,5000,13,330.00000000
4627,1,0000,086,5000,16,180.00000000
4627,1,0000,086,5000,21,170.00000000
4627,1,0000,086,5000,58,130.00000000
4627,1,0000,086,5000,79,170.00000000
4627,1,0000,086,5000,81,290.00000000
4627,1,0000,086,5000,84,290.00000000
4627,1,0000,086,5000,136,290.00000000
4627,1,0000,086,5000,139,130.00000000
4627,1,0000,086,5000,145,130.00000000
4627,1,0000,086,5000,171,130.00000000
4627,1,0000,086,5000,180,130.00000000
4627,1,0000,097,5000,27,130.00000000
4627,1,0000,097,5000,35,720.00000000
4627,1,0000,097,5000,53,130.00000000
4627,1,0000,097,5000,88,130.00000000
4627,1,0000,097,5000,104,380.00000000
4627,1,0000,097,5000,110,380.00000000
4627,1,0000,098,5000,36,240.00000000
4627,1,0000,098,5000,139,1150.00000000
4627,1,0000,098,5000,149,1000.00000000
4627,1,0000,098,5000,230,200.00000000
4627,1,0000,098,5000,301,130.00000000
4627,1,0000,098,5000,450,1150.00000000
4627,1,0000,098,5000,518,220.00000000
4627,1,0000,098,5000,548,130.00000000
4627,1,0000,098,5000,630,170.00000000
4627,1,0000,098,5000,633,170.00000000
4627,1,0000,098,5000,661,130.00000000
4627,1,0000,098,5000,693,130.00000000
4627,1,0000,111,5000,23,130.00000000
